link,name,event,start,end,hours,zero_hours,treated_hours,blocks,windows,blocks_with_window,weight,weight_plus,weight_minus,confirmed,source,type,message_coverage,directions,both_directions_coverage,message_ids,note,remit_frozen
NL-NO,NorNed,0,2023-09-04,2023-09-09,127,127,127,1,5,1,0.011982834503036633,0.013401270138069719,0.04201133326600155,True,Nord Pool UMM,planned,1.0,NL>NO;NO>NL,1.0,22d9de9f-63b7-477b-b6fd-cd85e336d783;7a211788-feb5-459e-b55d-81bf09905ce0,,
NL-NO,NorNed,1,2023-11-28,2023-11-30,57,57,56,1,5,1,0.007038876556657362,0.005117983944657441,0.01400651388289676,True,Nord Pool UMM,planned,1.0,NL>NO;NO>NL,1.0,111bcc54-efbb-4ccf-96df-d9836bf1f8c0;08d35ec3-8582-43c9-9583-144b5c6b8c9b;6930d2d6-a948-45f1-92c5-976f298e9f3e,,
NL-NO,NorNed,2,2024-01-05,2024-01-06,24,24,24,1,5,1,0.0016387378693920505,0.0014373993853875554,0.004330794356415394,False,,,0.0,,0.0,,,
NL-NO,NorNed,3,2024-01-22,2024-01-25,76,76,40,1,5,1,0.004829117390340331,0.002393012894841385,0.00824400669704516,True,Nord Pool UMM,unplanned,1.0,NL>NO;NO>NL,1.0,b648a954-f93a-4812-86dd-b96f6a609f7f,,
NL-NO,NorNed,4,2024-09-04,2024-09-05,34,34,34,1,5,1,0.004315162248514578,0.007771779072578901,0.02091026539496371,True,Nord Pool UMM,planned,1.0,NL>NO;NO>NL,1.0,40da991e-1d96-4138-b11a-546ab7526eb1;087a1a5d-854a-4dc4-95f6-4fcb55774502,,
NL-NO,NorNed,5,2025-04-01,2025-06-06,1596,1596,1559,10,9,2,0.6218633723009289,0.3694996924990675,0.5455763136951589,True,Nord Pool UMM,planned,1.0,NL>NO;NO>NL,1.0,7c311d89-09e5-49cd-9060-f0430901a8e3;0d225c34-8745-4562-9bcb-fcb613e8d1c5;3970aa3c-8d29-4032-9338-801397cd1546;187b5b17-349d-4433-b618-d72e37787fd6,,
NL-NO,NorNed,6,2025-08-18,2025-08-20,43,43,43,1,5,1,0.01832703630072847,0.006835146731058463,0.017677899176478867,True,Nord Pool UMM,unplanned,1.0,NL>NO;NO>NL,1.0,13e6cecc-4caf-4613-86ef-dba2279d25aa;7f55b61f-bbcf-4f51-92b8-f96352ac75a0;e8141d02-6c5c-4279-9ef8-7776b7f65a93,,
NL-NO,NorNed,7,2025-10-13,2025-10-21,201,199,198,2,7,2,0.01803013215833194,0.01571950241722954,0.05048502793132106,True,Nord Pool UMM,unplanned,1.0,NL>NO;NO>NL,1.0,e022d7c2-dc63-4150-848f-7799b980e897;8f78109e-6146-4641-b16e-df9f8844f53d,,
NL-NO,NorNed,8,2025-11-24,2025-11-27,80,80,80,1,5,1,0.010496470221925487,0.008989722131513776,0.018281422517565645,True,Nord Pool UMM,planned,1.0,NL>NO;NO>NL,1.0,2bb3dfeb-b3e6-4d5c-9ad7-587568b9c7bd,,
NL-NO,NorNed,9,2026-05-26,2026-08-31,2347,2316,2108,13,36,9,0.3014782604501442,0.5688344907855958,0.27847642308215304,True,Nord Pool UMM,planned,1.0,NL>NO;NO>NL,1.0,c19fcbd6-6f1a-4682-bf7e-f5d920defdcf;75c30a96-c04f-4ebe-b66e-bf35b878e5f6;af6b7d68-1de8-4b6c-a674-3f2f4e057bb4;ddc97177-a077-425c-8257-796d2a9e7dbb;1d93755d-eaba-43c1-846d-ca80935d3a60,,
